position_id,symbol,side,pnl_usdt,is_winner,hold_minutes,feat_adx,feat_atr,feat_trend,feat_atr_pct,feat_vol_ratio,feat_body_ratio,feat_momentum_pct,feat_volatility_ok,feat_adx_increasing,feat_vol_increasing,feat_pivot_fresh_long,feat_volume_confirmed,feat_pivot_fresh_short,feat_candle_momentum_strong,feat_break_distance_pct_long,feat_break_distance_pct_short,feat_vol_ok,feat_ema_trend,feat_swing_lows,feat_swing_highs,feat_order_blocks_bear,feat_order_blocks_bull
28,PENGUUSDT,LONG,-2.923672,0,9.18171105,35.80464853080211,3.8674394148412783e-05,BULL,0.5131271613163432,2.548542281535857,0.6190476190476216,1.6727370835019555,True,True,True,True,True,True,True,0.4397654584221754,-2.739912758996738,,,,,,
27,DOTUSDT,LONG,0.0,0,75.0570104,34.67623871782877,0.0062154418350696084,BULL,0.3963929741753577,1.4486179762957243,0.8461538461538475,0.7064868336544715,True,False,True,True,True,True,True,0.5128205128205132,-0.9658725048293706,,,,,,
26,UNIUSDT,SHORT,-0.535,0,41.44818226666667,67.71391001253613,0.01705440097505877,BEAR,0.4668601416659942,1.4352362393380826,0.8499999999999944,-0.3817834742296098,True,False,True,False,True,True,False,-7.284263959390862,0.16397922929761638,,,,,,
25,XRPUSDT,SHORT,-1.63704,0,98.33045548333334,69.01662912071603,0.0063803703665261035,BEAR,0.4426816323129191,1.4061597052735806,0.7692307692307722,-0.2629575807902585,True,True,True,True,True,True,False,-1.7786561264822143,0.41456505216610273,,,,,,
24,ETHUSDT,SHORT,-1.503,0,5.779334716666667,63.664952353033435,9.869820150063777,BEAR,0.45086200493644774,2.9568922407112748,0.520155038759689,-0.6440368721321321,True,True,True,False,True,True,False,-6.010501955699446,0.15507411630559137,,,,,,
23,BTCUSDT,SHORT,2.149,1,13.9590586,64.4047980392783,220.4351430576423,BEAR,0.30844239463368134,1.2064994784164431,0.7657054582904187,-0.21432351261576615,True,True,True,True,True,True,False,-0.929884388255847,0.20749611119334813,,,,,,
22,NEARUSDT,SHORT,1.722,1,29.692190683333333,59.693637734743945,0.007389021373893459,BEAR,0.531202111710529,1.5307934085517185,0.7777777777777558,-0.6428571428571356,True,True,True,False,True,True,False,-3.0662020905923373,0.4294917680744456,,,,,,
21,LTCUSDT,SHORT,1.68264,1,10.31296325,52.60485980287097,0.20433475364086037,BEAR,0.36494865804761634,1.9699391174838348,0.6901408450704214,-0.7621410847217294,True,True,True,False,True,True,False,-3.1482442483999313,0.6035860110065618,,,,,,
20,UNIUSDT,SHORT,0.61999999,1,0.7016112166666667,38.24636893246344,0.01126269683374193,BEAR,0.2894550715430977,2.6122184730358025,0.7096774193548392,-0.7144679765246242,True,True,True,True,True,True,False,-1.2436548223350237,0.17957927142124466,,,,,,
19,SOLUSDT,SHORT,1.48,1,1.0327168833333333,23.621906837691732,0.22909141721446158,BEAR,0.2455427837239674,3.1248973729731646,0.9062499999999966,-0.5224437573302154,True,True,True,True,True,True,False,-0.9133389974511463,0.4587645364344466,,,,,,
18,1000PEPEUSDT,SHORT,6.5816925,1,25.51465125,,1.095453897551779e-05,,0.29989429959258074,1.8115468911502675,,,True,,,,,,,,,True,BEAR,[],"[0.003664, 0.0036709]",0.0,0.0
17,SOLUSDT,SHORT,-4.5209,0,79.0495189,,0.20971644295923025,,0.22315007763272,1.8757519925613801,,,True,,,,,,,,,True,BEAR,"[94.09, 94.03]",[],1.0,0.0
16,UNIUSDT,LONG,0.124,1,67.62376166666667,,0.010294489981340586,,0.2577488728427788,2.193345835863233,,,True,,,,,,,,,True,BULL,[],"[3.986, 4.0]",0.0,1.0
15,XRPUSDT,LONG,2.04016,1,64.66775876666667,,0.003572647288438624,,0.23387321867233724,1.9265381808560127,,,True,,,,,,,,,True,BULL,[1.5231],[],1.0,0.0
14,SOLUSDT,SHORT,-1.4063,0,111.90708635,22.611332732786067,0.24332858046657072,BEAR,0.25770872745877005,1.2822609779572538,0.5675675675675437,-0.232459847844462,True,True,True,True,True,True,False,-0.49531035936347234,0.19027484143762433,,,,,,
13,ADAUSDT,SHORT,-4.46,0,47.520444266666665,21.045102229412024,0.0008273534100729612,BEAR,0.28747512511221723,1.6145574838897205,0.6666666666666461,-0.34626038781163465,True,True,True,True,True,True,False,-0.5872193436960206,0.34626038781163465,,,,,,
12,PENGUUSDT,LONG,-0.069875,0,31.858944183333332,32.158823502373224,2.799587136007651e-05,BULL,0.3522822619866178,1.9620797778485437,0.7199999999999959,0.3916119252147522,True,True,True,True,True,True,True,0.32824138366367867,-1.5461282903143314,,,,,,
11,UNIUSDT,LONG,-6.09,0,57.710243383333335,21.086879734489628,0.009097889072469823,BULL,0.22682346229044686,1.4746310320763008,0.6999999999999955,0.4005006257822281,True,True,True,True,True,True,True,0.30007501875468895,-0.3753753753753785,,,,,,
10,1000PEPEUSDT,SHORT,-3.23393869,0,10.656571916666667,62.750004632073896,1.6712191858577614e-05,BEAR,0.4573795631675091,1.2343592564344579,0.8047945205479464,-0.5173024040948665,True,True,True,False,True,True,False,-3.928167643888204,0.39526769163668607,,,,,,
9,1000PEPEUSDT,SHORT,3.088297,1,17.824878966666667,53.19475170485088,1.3607324055452694e-05,BEAR,0.3680042204525285,1.4613829672263932,0.7768924302788935,-0.3530331204354928,True,True,True,False,True,True,False,-2.7791654615728394,0.24550138937598762,,,,,,
8,XRPUSDT,SHORT,-1.57169,0,5.12847425,,0.00887906328158501,,0.5680055835200237,1.4372751803887605,,,,,,,,,,,,True,,[],"[1.5663, 1.5709]",0.0,1.0
7,NEARUSDT,LONG,-2.6,0,18.09803565,,0.009623126793029707,,0.65065089878497,1.253015474268402,,,,,,,,,,,,True,,"[1.48, 1.475, 1.467]",[],0.0,0.0
6,BNBUSDT,SHORT,-3.2495,0,3.950876533333333,,1.8378063751175215,,0.2696193499578248,1.240493554307042,,,,,,,,,,,,True,,[],[],1.0,1.0
5,AVAXUSDT,SHORT,4.091,1,210.7335953,,0.04248257923920234,,0.4053681225114727,2.1567757989019065,,,,,,,,,,,,True,,[],"[10.492, 10.543]",0.0,0.0
4,BTCUSDT,SHORT,-0.0801,0,39.55251448333333,,218.59114215945056,,0.2906793237767643,1.9272783622698524,,,,,,,,,,,,True,,[],"[75131.0, 75441.9]",1.0,2.0
3,DOTUSDT,SHORT,-0.3598,0,67.08122573333333,,0.010952269880612472,,0.6698636012607017,1.2186055156377633,,,,,,,,,,,,True,,[],"[1.637, 1.64]",1.0,1.0
2,POLUSDT,SHORT,1.87205995,1,73.68620893333333,,0.0003100314988656975,,0.30383329955478,1.3640734785400677,,,,,,,,,,,,True,,[],"[0.10214, 0.10218]",0.0,0.0
1,BTCUSDT,SHORT,-3.203,0,19.955593,,187.32920027005997,,0.2517872363501783,1.8284979920583198,,,,,,,,,,,,True,,[],"[74434.4, 74301.6]",0.0,1.0
